id,label
17769,technical_support
17770,other
17771,other
17772,customer_support
17773,customer_support
17774,customer_support
17775,customer_support
17776,customer_support
17777,customer_support
17778,technical_support
17779,other
17780,technical_support
17781,other
17782,other
17783,technical_support
17784,technical_support
17785,other
17786,other
17787,other
17788,technical_support
17789,customer_support
17790,technical_support
17791,technical_support
17792,customer_support
17793,other
17794,technical_support
17795,other
17796,customer_support
17797,technical_support
17798,technical_support
17799,technical_support
17800,customer_support
17801,customer_support
17802,technical_support
17803,customer_support
17804,other
17805,customer_support
17806,customer_support
17807,other
17808,other
17809,other
17810,customer_support
17811,customer_support
17812,customer_support
17813,customer_support
17814,technical_support
17815,other
17816,other
17817,customer_support
17818,other
17819,technical_support
17820,other
17821,other
17822,technical_support
17823,technical_support
17824,technical_support
17825,other
17826,technical_support
17827,technical_support
17828,other
17829,technical_support
17830,technical_support
17831,technical_support
17832,other
17833,technical_support
17834,customer_support
17835,other
17836,technical_support
17837,technical_support
17838,other
17839,other
17840,customer_support
17841,other
17842,other
17843,technical_support
17844,technical_support
17845,customer_support
17846,technical_support
17847,other
17848,other
17849,technical_support
17850,other
17851,customer_support
17852,customer_support
17853,technical_support
17854,other
17855,other
17856,other
17857,technical_support
17858,other
17859,customer_support
17860,technical_support
17861,customer_support
17862,customer_support
17863,technical_support
17864,other
17865,customer_support
17866,customer_support
17867,other
17868,technical_support
17869,other
17870,technical_support
17871,customer_support
17872,customer_support
17873,technical_support
17874,technical_support
17875,customer_support
17876,customer_support
17877,technical_support
17878,other
17879,other
17880,customer_support
17881,technical_support
17882,other
17883,technical_support
17884,technical_support
17885,technical_support
17886,customer_support
17887,technical_support
17888,customer_support
17889,other
17890,other
17891,technical_support
17892,customer_support
17893,technical_support
17894,customer_support
17895,other
17896,other
17897,technical_support
17898,customer_support
17899,technical_support
17900,technical_support
17901,technical_support
17902,customer_support
17903,technical_support
17904,technical_support
17905,customer_support
17906,other
17907,other
17908,customer_support
17909,other
17910,other
17911,technical_support
17912,technical_support
17913,other
17914,other
17915,other
17916,technical_support
17917,customer_support
17918,other
17919,customer_support
17920,other
17921,technical_support
17922,other
17923,other
17924,technical_support
17925,other
17926,technical_support
17927,customer_support
17928,other
17929,technical_support
17930,technical_support
17931,other
17932,other
17933,other
17934,other
17935,customer_support
17936,technical_support
17937,customer_support
17938,other
17939,customer_support
17940,technical_support
17941,technical_support
17942,technical_support
17943,technical_support
17944,technical_support
17945,customer_support
17946,customer_support
17947,customer_support
17948,technical_support
17949,technical_support
17950,technical_support
17951,technical_support
17952,technical_support
17953,technical_support
17954,customer_support
17955,customer_support
17956,technical_support
17957,customer_support
17958,technical_support
17959,technical_support
17960,technical_support
17961,other
17962,customer_support
17963,other
17964,technical_support
17965,other
17966,technical_support
17967,other
17968,technical_support
17969,customer_support
17970,other
17971,customer_support
17972,customer_support
17973,technical_support
17974,technical_support
17975,customer_support
17976,technical_support
17977,technical_support
17978,customer_support
17979,other
17980,other
17981,other
17982,other
17983,customer_support
17984,technical_support
17985,technical_support
17986,customer_support
17987,technical_support
17988,technical_support
17989,customer_support
17990,other
17991,other
17992,customer_support
17993,technical_support
17994,technical_support
17995,customer_support
17996,customer_support
17997,customer_support
17998,technical_support
17999,customer_support
18000,other
18001,technical_support
18002,technical_support
18003,customer_support
18004,customer_support
18005,other
18006,technical_support
18007,other
18008,customer_support
18009,other
18010,other
18011,customer_support
18012,other
18013,technical_support
18014,technical_support
18015,customer_support
18016,other
18017,technical_support
18018,customer_support
18019,customer_support
18020,customer_support
18021,customer_support
18022,technical_support
18023,customer_support
18024,customer_support
18025,customer_support
18026,customer_support
18027,technical_support
18028,customer_support
18029,technical_support
18030,other
18031,technical_support
18032,other
18033,technical_support
18034,technical_support
18035,customer_support
18036,other
18037,other
18038,customer_support
18039,other
18040,other
18041,other
18042,technical_support
18043,technical_support
18044,other
18045,technical_support
18046,technical_support
18047,other
18048,other
18049,customer_support
18050,other
18051,customer_support
18052,other
18053,customer_support
18054,technical_support
18055,technical_support
18056,customer_support
18057,technical_support
18058,other
18059,customer_support
18060,technical_support
18061,technical_support
18062,customer_support
18063,other
18064,technical_support
18065,technical_support
18066,other
18067,technical_support
18068,technical_support
18069,customer_support
18070,customer_support
18071,customer_support
18072,other
18073,customer_support
18074,customer_support
18075,customer_support
18076,other
18077,other
18078,customer_support
18079,technical_support
18080,technical_support
18081,other
18082,technical_support
18083,technical_support
18084,customer_support
18085,customer_support
18086,technical_support
18087,other
18088,customer_support
18089,other
18090,other
18091,other
18092,other
18093,customer_support
18094,other
18095,other
18096,technical_support
18097,technical_support
18098,technical_support
18099,customer_support
18100,customer_support
18101,technical_support
18102,customer_support
18103,other
18104,technical_support
18105,other
18106,technical_support
18107,customer_support
18108,other
18109,other
18110,other
18111,other
18112,technical_support
18113,technical_support
18114,customer_support
18115,customer_support
18116,customer_support
18117,customer_support
18118,technical_support
18119,customer_support
18120,technical_support
18121,customer_support
18122,technical_support
18123,other
18124,technical_support
18125,other
18126,technical_support
18127,technical_support
18128,technical_support
18129,other
18130,technical_support
18131,technical_support
18132,customer_support
18133,other
18134,customer_support
18135,customer_support
18136,technical_support
18137,customer_support
18138,technical_support
18139,technical_support
18140,customer_support
18141,technical_support
18142,other
18143,technical_support
18144,technical_support
18145,other
18146,other
18147,technical_support
18148,other
18149,technical_support
18150,customer_support
18151,technical_support
18152,other
18153,technical_support
18154,other
18155,customer_support
18156,customer_support
18157,other
18158,technical_support
18159,customer_support
18160,other
18161,other
18162,customer_support
18163,other
18164,technical_support
18165,technical_support
18166,technical_support
18167,other
18168,other
18169,technical_support
18170,customer_support
18171,technical_support
18172,customer_support
18173,other
18174,technical_support
18175,other
18176,customer_support
18177,other
18178,other
18179,technical_support
18180,other
18181,technical_support
18182,technical_support
18183,customer_support
18184,customer_support
18185,other
18186,other
18187,other
18188,technical_support
18189,customer_support
18190,customer_support
18191,technical_support
18192,other
18193,technical_support
18194,customer_support
18195,technical_support
18196,technical_support
18197,customer_support
18198,customer_support
18199,customer_support
18200,other
18201,technical_support
18202,technical_support
18203,customer_support
18204,other
18205,other
18206,technical_support
18207,customer_support
18208,technical_support
18209,technical_support
18210,technical_support
18211,customer_support
18212,customer_support
18213,other
18214,customer_support
18215,customer_support
18216,customer_support
18217,customer_support
18218,technical_support
18219,technical_support
18220,other
18221,technical_support
18222,other
18223,customer_support
18224,customer_support
18225,customer_support
18226,technical_support
18227,other
18228,customer_support
18229,customer_support
18230,technical_support
18231,customer_support
18232,other
18233,technical_support
18234,other
18235,technical_support
18236,technical_support
18237,customer_support
18238,customer_support
18239,customer_support
18240,other
18241,customer_support
18242,customer_support
18243,technical_support
18244,technical_support
18245,technical_support
18246,other
18247,other
18248,technical_support
18249,other
18250,customer_support
18251,customer_support
18252,technical_support
18253,customer_support
18254,technical_support
18255,other
18256,other
18257,technical_support
18258,technical_support
18259,other
18260,other
18261,technical_support
18262,other
18263,other
18264,technical_support
18265,technical_support
18266,customer_support
18267,other
18268,technical_support
18269,customer_support
18270,other
18271,other
18272,customer_support
18273,technical_support
18274,technical_support
18275,other
18276,technical_support
18277,customer_support
18278,other
18279,customer_support
18280,other
18281,customer_support
18282,technical_support
18283,technical_support
18284,customer_support
18285,technical_support
18286,technical_support
18287,customer_support
18288,technical_support
18289,technical_support
18290,technical_support
18291,technical_support
18292,customer_support
18293,other
18294,technical_support
18295,technical_support
18296,customer_support
18297,other
18298,other
18299,technical_support
18300,other
18301,other
18302,other
18303,other
18304,customer_support
18305,technical_support
18306,other
18307,customer_support
